"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_Cookbook_DN","Survivor Cookbook","Survivor Cookbook","Přeživší kuchařka","Survivor-Kochbuch","Кулинарная книга выжившего","Książka kucharska ocalałego","Ricettario del sopravvissuto","Libro de cocina para sobrevivientes","Livre de cuisine du survivant","生存者食谱","サバイバークックブック","Livro de receitas do sobrevivente","生存者食谱",
"STR_CookZ_Cookbook_DS","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","This cookbook contains recipes that help you eat well in any situation. Ideal for cooking under extreme conditions.","Tato kuchařka obsahuje recepty, které vám pomohou dobře jíst v každé situaci. Ideální pro vaření v extrémních podmínkách.","Dieses Kochbuch enthält Rezepte, die dir helfen, in jeder Situation gut zu essen. Ideal für das Kochen unter extremen Bedingungen.","Эта кулинарная книга содержит рецепты, которые помогут вам хорошо питаться в любых условиях. Идеально подходит для приготовления пищи в экстремальных условиях.","Ta książka kucharska zawiera przepisy, które pomogą ci dobrze jeść w każdej sytuacji. Idealna do gotowania w ekstremalnych warunkach.","Questo ricettario contiene ricette che ti aiutano a mangiare bene in qualsiasi situazione. Ideale per cucinare in condizioni estreme.","Este libro de cocina contiene recetas que te ayudarán a comer bien en cualquier situación. Ideal para cocinar en condiciones extremas.","Ce livre de cuisine contient des recettes qui vous aident à bien manger dans toutes les situations. Idéal pour cuisiner dans des conditions extrêmes.","这本食谱包含在任何情况下帮助您吃得好的食谱。适合在极端条件下烹饪。","この料理本には、あらゆる状況で美味しく食べるためのレシピが含まれています。過酷な環境での料理に最適。","Este livro de receitas contém receitas que ajudam você a comer bem em qualquer situação. Ideal para cozinhar em condições extremas.","这本食谱包含在任何情况下帮助您吃得好的食谱。适合在极端条件下烹饪。",
"STR_CookZ_Cookbook_Title","Cooking for Survivors","Cooking for Survivors","Vaření pro přeživší","Kochen für Überlebende","Готовка для выживших","Gotowanie dla ocalałych","Cucinare per sopravvissuti","Cocinar para sobrevivientes","Cuisine pour les survivants","为生存者而烹饪","サバイバーのための料理","Cozinhando para sobreviventes","为生存者而烹饪",
"STR_CookZ_Cookbook_Author","By a Survivor","By a Survivor","Od přeživšího","Von einem Überlebenden","Автор: Выживший","Przez ocalałego","Da un sopravvissuto","Por un sobreviviente","Par un survivant","生存者撰写","生存者によって","Por um sobrevivente","生存者撰写",
"STR_CookZ_FriedPotatoesBox_DN","Fried Potatoes","Fried Potatoes","Smažené brambory","Bratkartoffeln","Жареный картофель","Smażone ziemniaki","Patate fritte","Patatas fritas","Pommes frites","炸土豆","フライドポテト","Batatas fritas","炸土豆",
"STR_CookZ_FriedPotatoesBox_DS","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack.","Křupavé smažené plátky brambor, zlatohnědé na povrchu a měkké uvnitř, ideální jako příloha nebo svačina.","Knusprig gebratene Kartoffelscheiben, außen goldbraun und innen weich, ideal als Beilage oder Snack.","Хрустящие жареные картофельные ломтики, золотисто-коричневые снаружи и мягкие внутри, идеально подходящие как гарнир или закуска.","Kruche smażone plasterki ziemniaków, złociste na zewnątrz i miękkie w środku, idealne jako dodatek lub przekąska.","Fette di patate fritte croccanti, dorate all'esterno e morbide all'interno, perfette come contorno o spuntino.","Rebanadas de patatas fritas crujientes, doradas por fuera y suaves por dentro, perfectas como acompañamiento o aperitivo.","Tranches de pommes de terre frites croustillantes, dorées à l'extérieur et tendres à l'intérieur, parfaites comme accompagnement ou en-cas.","外脆内软的炸土豆片，外表金黄，内里柔软，完美作为配菜或小吃。","外はカリカリ、中は柔らかいフライドポテトのスライス。サイドディッシュやスナックに最適です。","Fatias de batata frita crocantes, douradas por fora e macias por dentro, perfeitas como acompanhamento ou lanche.","外脆内软的炸土豆片，外表金黄，内里柔软，完美作为配菜或小吃。",
"STR_CookZ_FriedPotatoesBox_Opened_DS","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Crispy fried potato slices, golden-brown on the outside and soft on the inside, perfect as a side dish or snack. Eat up before it spoils.","Křupavé smažené plátky brambor, zlatohnědé na povrchu a měkké uvnitř, ideální jako příloha nebo svačina. Snězte to, než se zkazí.","Knusprig gebratene Kartoffelscheiben, außen goldbraun und innen weich, ideal als Beilage oder Snack. Nach dem Öffnen rasch verzehren.","Хрустящие жареные картофельные ломтики, золотисто-коричневые снаружи и мягкие внутри, идеально подходящие как гарнир или закуска. Съешьте, пока не испортилось.","Kruche smażone plasterki ziemniaków, złociste na zewnątrz i miękkie w środku, idealne jako dodatek lub przekąska. Zjedz, zanim się zepsuje.","Fette di patate fritte croccanti, dorate all'esterno e morbide all'interno, perfette come contorno o spuntino. Mangia prima che vada a male.","Rebanadas de patatas fritas crujientes, doradas por fuera y suaves por dentro, perfectas como acompañamiento o aperitivo. Cómelo antes de que se estropee.","Tranches de pommes de terre frites croustillantes, dorées à l'extérieur et tendres à l'intérieur, parfaites comme accompagnement ou en-cas. Mangez avant que cela ne soit périmé.","外脆内软的炸土豆片，外表金黄，内里柔软，完美作为配菜或小吃。 在变质之前吃掉。","外はカリカリ、中は柔らかいフライドポテトのスライス。サイドディッシュやスナックに最適です。 腐る前に食べてください。","Fatias de batata frita crocantes, douradas por fora e macias por dentro, perfeitas como acompanhamento ou lanche. Coma antes que estrague.","外脆内软的炸土豆片，外表金黄，内里柔软，完美作为配菜或小吃。 在变质之前吃掉。",
"STR_CookZ_StirFryBox_DN","Stir Fry","Stir Fry","Smažená zelenina","Gebratenes Gemüse","Жаркое из овощей","Smażona warzywa","Saltato di verdure","Salteado de verduras","Légumes sautés","炒菜","野菜炒め","Legumes salteados","炒菜",
"STR_CookZ_StirFryBox_DS","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste.","Zelenina, která je orestována na horké pánvi, vytváří živé, lehce opálené jídlo s dokonalým vyvážením textury a chuti.","Gemüse, das in einer heißen Pfanne geschwenkt wird, ergibt ein lebendiges, leicht angebratenes Gericht mit perfektem Gleichgewicht von Textur und Geschmack.","Овощи, приготовленные на сковороде, создают яркое впечатление, слегка поджаренное блюдо с идеальным балансом вкуса.","Warzywa smażone na gorącej patelni, tworząc żywą, lekko przypaloną potrawę o idealnej równowadze tekstury i smaku.","Verdure saltate in una padella calda, creando un piatto vibrante e leggermente bruciato con un perfetto equilibrio di consistenza e sapore.","Verduras salteadas en una sartén caliente, creando un plato vibrante y ligeramente carbonizado con un equilibrio perfecto de textura y sabor.","Des légumes sautés dans une poêle chaude, créant un plat vibrant et légèrement grillé avec un équilibre parfait entre texture et goût.","在热锅中翻炒的蔬菜，创造出色彩鲜艳、略带焦痕的菜肴，质感与味道的平衡完美。","熱いフライパンで炒めた野菜。鮮やかで軽く焦げ目がついた料理で、食感と味のバランスが完璧です。","Legumes salteados em uma panela quente, criando um prato vibrante e levemente queimado, com um equilíbrio perfeito de textura e sabor.","在热锅中翻炒的蔬菜，创造出色彩鲜艳、略带焦痕的菜肴，质感与味道的平衡完美。",
"STR_CookZ_StirFryBox_Opened_DS","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Vegetables tossed in a hot pan, creating a vibrant, lightly charred dish with a perfect balance of texture and taste. Eat up before it spoils.","Zelenina, která je orestována na horké pánvi, vytváří živé, lehce opálené jídlo s dokonalým vyvážením textury a chuti. Snězte to, než se zkazí.","Gemüse, das in einer heißen Pfanne geschwenkt wird, ergibt ein lebendiges, leicht angebratenes Gericht mit perfektem Gleichgewicht von Textur und Geschmack. Nach dem Öffnen rasch verzehren.","Овощи, приготовленные на сковороде, создают яркое впечатление, слегка поджаренное блюдо с идеальным балансом вкуса. Съешьте, пока не испортилось.","Warzywa smażone na gorącej patelni, tworząc żywą, lekko przypaloną potrawę o idealnej równowadze tekstury i smaku. Zjedz, zanim się zepsuje.","Verdure saltate in una padella calda, creando un piatto vibrante e leggermente bruciato con un perfetto equilibrio di consistenza e sapore. Mangia prima che vada a male.","Verduras salteadas en una sartén caliente, creando un plato vibrante y ligeramente carbonizado con un equilibrio perfecto de textura y sabor. Cómelo antes de que se estropee.","Des légumes sautés dans une poêle chaude, créant un plat vibrant et légèrement grillé avec un équilibre parfait entre texture et goût. Mangez avant que cela ne soit périmé.","在热锅中翻炒的蔬菜，创造出色彩鲜艳、略带焦痕的菜肴，质感与味道的平衡完美。 在变质之前吃掉。","熱いフライパンで炒めた野菜。鮮やかで軽く焦げ目がついた料理で、食感と味のバランスが完璧です。 腐る前に食べてください。","Legumes salteados em uma panela quente, criando um prato vibrante e levemente queimado, com um equilíbrio perfeito de textura e sabor. Coma antes que estrague.","在热锅中翻炒的蔬菜，创造出色彩鲜艳、略带焦痕的菜肴，质感与味道的平衡完美。 在变质之前吃掉。",
"STR_CookZ_FishAndChipsBox_DN","Fish And Chips","Fish And Chips","Ryba a hranolky","Fish & Chips","Рыба с картошкой фри","Ryba i frytki","Pesce e patatine","Pescado y patatas fritas","Poisson et frites","炸鱼和薯条","フィッシュアンドチップス","Peixe e batatas fritas","炸鱼和薯条",
"STR_CookZ_FishAndChipsBox_DS","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures.","Křupavá ryba v těstíčku podávaná s tlustými hranolky, nabízí jednoduchou, ale lahodnou kombinaci chutí a textur.","Knusprig panierter Fisch, dazu dicke Pommes – eine einfache, aber leckere Kombination aus Geschmack und Textur.","Хрустящая рыба в панировке, подаваемая с толстыми картошками фри, простое, но вкусное сочетание.","Chrupiąca ryba w cieście podawana z grubymi frytkami, oferująca prostą, ale pyszną kombinację smaków i tekstur.","Pesce impanato croccante servito con patatine spesse, offrendo una combinazione semplice ma deliziosa di sapori e consistenze.","Pescado empanizado crujiente servido con patatas gruesas, ofreciendo una combinación simple pero deliciosa de sabores y texturas.","Poisson pané croustillant servi avec des frites épaisses, offrant une combinaison simple mais délicieuse de saveurs et de textures.","外脆内软的炸鱼，搭配厚切薯条，提供简单但美味的味觉和口感的结合。","カリカリの衣をまとった魚を、厚切りのフライドポテトと一緒に提供。シンプルでありながら美味しい味と食感の組み合わせ。","Peixe empanado crocante servido com batatas fritas grossas, oferecendo uma combinação simples, mas deliciosa de sabores e texturas.","外脆内软的炸鱼，搭配厚切薯条，提供简单但美味的味觉和口感的结合。",
"STR_CookZ_FishAndChipsBox_Opened_DS","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Crispy battered fish served with thick fries, offering a simple but delicious combination of flavors and textures. Eat up before it spoils.","Křupavá ryba v těstíčku podávaná s tlustými hranolky, nabízí jednoduchou, ale lahodnou kombinaci chutí a textur. Snězte to, než se zkazí.","Knusprig panierter Fisch, dazu dicke Pommes – eine einfache, aber leckere Kombination aus Geschmack und Textur. Nach dem Öffnen rasch verzehren.","Хрустящая рыба в панировке, подаваемая с толстыми картошками фри, простое, но вкусное сочетание. Съешьте, пока не испортилось.","Chrupiąca ryba w cieście podawana z grubymi frytkami, oferująca prostą, ale pyszną kombinację smaków i tekstur. Zjedz, zanim się zepsuje.","Pesce impanato croccante servito con patatine spesse, offrendo una combinazione semplice ma deliziosa di sapori e consistenze. Mangia prima che vada a male.","Pescado empanizado crujiente servido con patatas gruesas, ofreciendo una combinación simple pero deliciosa de sabores y texturas. Cómelo antes de que se estropee.","Poisson pané croustillant servi avec des frites épaisses, offrant une combinaison simple mais délicieuse de saveurs et de textures. Mangez avant que cela ne soit périmé.","外脆内软的炸鱼，搭配厚切薯条，提供简单但美味的味觉和口感的结合。 在变质之前吃掉。","カリカリの衣をまとった魚を、厚切りのフライドポテトと一緒に提供。シンプルでありながら美味しい味と食感の組み合わせ。 腐る前に食べてください。","Peixe empanado crocante servido com batatas fritas grossas, oferecendo uma combinação simples, mas deliciosa de sabores e texturas. Coma antes que estrague.","外脆内软的炸鱼，搭配厚切薯条，提供简单但美味的味觉和口感的结合。 在变质之前吃掉。",
"STR_CookZ_RicePuddingBox_DN","Rice Pudding","Rice Pudding","Rýžová kaše","Milchreis","Рисовый пудинг","Budyn ryżowy","Riso al latte","Arroz con leche","Riz au lait","米饭布丁","ライスプディング","Arroz Doce","米饭布丁",
"STR_CookZ_RicePuddingBox_DS","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness.","Jednoduchá směs rýže a mléka, vařená do měkké, krémové konzistence. Podává se teplé s ovocem pro trochu sladkosti.","Eine einfache Mischung aus Reis und Milch, zu einer weichen, cremigen Konsistenz gekocht. Warm serviert mit Früchten für etwas Süße.","Простая смесь риса и молока, приготовленная до мягкой, кремовой консистенции. Подается теплым с фруктами для легкой сладости.","Prosta mieszanka ryżu i mleka, gotowana do miękkiej, kremowej konsystencji. Podawana na ciepło z owocami dla odrobiny słodyczy.","Una semplice miscela di riso e latte, cotta fino a ottenere una consistenza morbida e cremosa. Servito caldo con frutta per un tocco di dolcezza.","Una mezcla simple de arroz y leche, cocida hasta obtener una consistencia suave y cremosa. Servido caliente con fruta para un toque de dulzura.","Un simple mélange de riz et de lait, cuit pour obtenir une consistance douce et crémeuse. Servi chaud avec des fruits pour un peu de douceur.","米饭和牛奶的简单混合，煮至柔软、奶油般的稠度。温热食用，并搭配水果带来一丝甜味。","米と牛乳のシンプルな混合物を、柔らかくクリーミーな状態になるまで調理します。温かく果物と一緒に提供され、ほんのり甘さを加えます。","Uma mistura simples de arroz e leite, cozido até uma consistência cremosa e suave. Servido quente com frutas para um toque de doçura.","米饭和牛奶的简单混合，煮至柔软、奶油般的稠度。温热食用，并搭配水果带来一丝甜味。",
"STR_CookZ_RicePuddingBox_Opened_DS","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","A simple mix of rice and milk, cooked to a soft, creamy consistency. Served warm with fruit for a bit of sweetness. Eat up before it spoils.","Jednoduchá směs rýže a mléka, vařená do měkké, krémové konzistence. Podává se teplé s ovocem pro trochu sladkosti. Snězte to, než se zkazí.","Eine einfache Mischung aus Reis und Milch, zu einer weichen, cremigen Konsistenz gekocht. Warm serviert mit Früchten für etwas Süße. Nach dem Öffnen rasch verzehren.","Простая смесь риса и молока, приготовленная до мягкой, кремовой консистенции. Подается теплым с фруктами для легкой сладости. Съешьте, пока не испортилось.","Prosta mieszanka ryżu i mleka, gotowana do miękkiej, kremowej konsystencji. Podawana na ciepło z owocami dla odrobiny słodyczy. Zjedz, zanim się zepsuje.","Una semplice miscela di riso e latte, cotta fino a ottenere una consistenza morbida e cremosa. Servito caldo con frutta per un tocco di dolcezza. Mangia prima che vada a male.","Una mezcla simple de arroz y leche, cocida hasta obtener una consistencia suave y cremosa. Servido caliente con fruta para un toque de dulzura. Cómelo antes de que se estropee.","Un simple mélange de riz et de lait, cuit pour obtenir une consistance douce et crémeuse. Servi chaud avec des fruits pour un peu de douceur. Mangez avant que cela ne soit périmé.","米饭和牛奶的简单混合，煮至柔软、奶油般的稠度。温热食用，并搭配水果带来一丝甜味。 在变质之前吃掉。","米と牛乳のシンプルな混合物を、柔らかくクリーミーな状態になるまで調理します。温かく果物と一緒に提供され、ほんのり甘さを加えます。 腐る前に食べてください。","Uma mistura simples de arroz e leite, cozido até uma consistência cremosa e suave. Servido quente com frutas para um toque de doçura. Coma antes que estrague.","米饭和牛奶的简单混合，煮至柔软、奶油般的稠度。温热食用，并搭配水果带来一丝甜味。 在变质之前吃掉。",
"STR_CookZ_MushroomRisottoBox_DN","Mushroom Risotto","Mushroom Risotto","Houbové rizoto","Pilzrisotto","Грибное ризотто","Risotto z grzybami","Risotto ai funghi","Risotto de setas","Risotto aux champignons","蘑菇烩饭","きのこリゾット","Risoto de cogumelos","蘑菇烩饭",
"STR_CookZ_MushroomRisottoBox_DS","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor.","Rýže vařená s houbami, jednoduchá a výživná. Je krémová a má pevnou, zemitou chuť.","Reis, gekocht mit Pilzen, einfach und sättigend. Es ist cremig und hat einen soliden, erdigen Geschmack.","Рис, приготовленный с грибами, простой и сытный. Кремовый, с насыщенным, вкусом лесных грибов.","Ryż gotowany z grzybami, prosty i sycący. Jest kremowy i ma solidny, ziemisty smak.","Riso cotto con funghi, semplice e sostanzioso. È cremoso e ha un sapore robusto e terroso.","Arroz cocido con setas, simple y saciante. Es cremoso y tiene un sabor fuerte y terroso.","Riz cuit avec des champignons, simple et nourrissant. Il est crémeux et a une saveur forestière.","蘑菇炖饭，简单而有营养。它是奶油状的，具有浓郁的泥土风味。","キノコで調理されたリゾット、シンプルで満腹感があり、クリーミーで土のような味わい。","Arroz cozido com cogumelos, simples e nutritivo. É cremoso e tem um sabor forte e terroso.","蘑菇炖饭，简单而有营养。它是奶油状的，具有浓郁的泥土风味。",
"STR_CookZ_MushroomRisottoBox_Opened_DS","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rice cooked with mushrooms, simple and filling. It’s creamy and packs a solid, earthy flavor. Eat up before it spoils.","Rýže vařená s houbami, jednoduchá a výživná. Je krémová a má pevnou, zemitou chuť. Snězte to, než se zkazí.","Reis, gekocht mit Pilzen, einfach und sättigend. Es ist cremig und hat einen soliden, erdigen Geschmack. Nach dem Öffnen rasch verzehren.","Рис, приготовленный с грибами, простой и сытный. Кремовый, с насыщенным, вкусом лесных грибов. Съешьте, пока не испортилось.","Ryż gotowany z grzybami, prosty i sycący. Jest kremowy i ma solidny, ziemisty smak. Zjedz, zanim się zepsuje.","Riso cotto con funghi, semplice e sostanzioso. È cremoso e ha un sapore robusto e terroso. Mangia prima che vada a male.","Arroz cocido con setas, simple y saciante. Es cremoso y tiene un sabor fuerte y terroso. Cómelo antes de que se estropee.","Riz cuit avec des champignons, simple et nourrissant. Il est crémeux et a une saveur forestière. Mangez avant que cela ne soit périmé.","蘑菇炖饭，简单而有营养。它是奶油状的，具有浓郁的泥土风味。 在变质之前吃掉。","キノコで調理されたリゾット、シンプルで満腹感があり、クリーミーで土のような味わい。 腐る前に食べてください。","Arroz cozido com cogumelos, simples e nutritivo. É cremoso e tem um sabor forte e terroso. Coma antes que estrague.","蘑菇炖饭，简单而有营养。它是奶油状的，具有浓郁的泥土风味。 在变质之前吃掉。",
"STR_CookZ_PilafBox_DN","Pilaf","Pilaf","Pilaf","Pilaw","Пилаф","Pilaw","Pilaf","Pilaf","Pilaf","皮拉夫","ピラフ","Pilaf","皮拉夫",
"STR_CookZ_PilafBox_DS","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rice mixed with bell peppers and tomatoes, offering a satisfying, savory dish that’s both fresh and hearty.","Rýže smíchaná s paprikami a rajčaty, nabízející uspokojivý, slaný pokrm, který je čerstvý a vydatný.","Reis, gemischt mit Paprika und Tomaten, bietet ein zufriedenstellendes, herzhaftes Gericht, das frisch und sättigend ist.","Рис, смешанный с болгарским перцем и помидорами, представляет собой сытное блюдо с насыщенным вкусом и богатым ароматом.","Ryż wymieszany z papryką i pomidorami, oferujący satysfakcjonujące, pikantne danie, które jest zarówno świeże, jak i sycące.","Riso mescolato con peperoni e pomodori, che offre un piatto soddisfacente e saporito, fresco e sostanzioso.","Arroz mezclado con pimientos y tomates, ofreciendo un plato sabroso y satisfactorio que es tanto fresco como reconfortante.","Riz mélangé avec des poivrons et des tomates, offrant un plat satisfaisant et savoureux, à la fois frais et nourrissant.","米饭与甜椒和番茄混合，提供一道令人满意、咸香的菜肴，既新鲜又丰盛。","米とピーマン、トマトを混ぜたもので、満足感のある、風味豊かな料理で、新鮮でありながらボリューム満点です。","Arroz misturado com pimentões e tomates, oferecendo um prato saboroso e satisfatório, que é ao mesmo tempo fresco e substancial.","米饭与甜椒和番茄混合，提供一道令人满意、咸香的菜肴，既新鲜又丰盛。",
